tweet_id,retweet_count,favorite_count
823581115634085888,2665,13201
823333489516937216,25,707
823322678127919110,4092,15942
823269594223824897,10048,0
822975315408461824,3505,17535
822872901745569793,43975,133351
822859134160621569,2321,13468
822647212903690241,6513,0
822610361945911296,3006,15021
822489057087389700,6513,18407
822462944365645825,14575,28463
822244816520155136,10048,35455
822163064745328640,4860,0
821886076407029760,2352,11485
821813639212650496,3410,0
821765923262631936,1684,8538
821522889702862852,1796,8154
821421320206483457,5693,0
821407182352777218,4419,11959
821153421864615936,10,259
821149554670182400,2028,8775
821107785811234820,2172,9746
821044531881721856,2322,12846
820837357901512704,6856,0
820749716845686786,10075,32054
820690176645140481,3287,12394
820494788566847489,573,0
820446719150292993,2614,0
820314633777061888,573,3398
820078625395449857,6405,20121
820013781606658049,1201,0
819952236453363712,1201,5411
819924195358416896,4956,13092
819711362133872643,3170,13605
819588359383371776,2026,9794
819347104292290561,1230,7334
819238181065359361,414,2311
819227688460238848,6856,23452
819015337530290176,37532,0
819015331746349057,19300,0
819006400881917954,19300,45984
819004803107983360,37532,88250
818646164899774465,21408,0
818627210458333184,7681,22779
818614493328580609,2613,10010
818588835076603904,6273,0
818536468981415936,2513,11082
818307523543449600,8255,0
818259473185828864,2318,11218
818145370475810820,2618,12508
817908911860748288,819,4944
817827839487737858,27591,52585
817777686764523521,2745,10930
817536400337801217,3028,11965
817502432452313088,3466,0
817423860136083457,15034,34483
817415592588222464,972,5705
817181837579653120,8639,0
817171292965273600,2064,8924
817120970343411712,2654,12425
817056546584727552,1679,8741
816829038950027264,4804,0
816816676327063552,2079,10205
816697700272001025,2239,9979
816450570814898180,8256,31021
816336735214911488,1985,8760
816091915477250048,2187,9082
816062466425819140,1049,0
816014286006976512,5392,0
815990720817401858,1049,5055
815966073409433600,8639,22834
815745968457060357,4229,0
815736392542261248,2320,10039
815639385530101762,1681,8374
815390420867969024,3889,10560
814986499976527872,1302,7793
814638523311648768,2762,11483
814578408554463233,5961,0
814530161257443328,1906,8821
814153002265309185,8876,29357
813944609378369540,3254,0
813910438903693312,1909,9478
813812741911748608,14296,37131
813800681631023104,1805,8486
813217897535406080,7459,19006
813202720496779264,1848,9422
813187593374461952,4466,20289
813172488309972993,1971,9459
813157409116065792,2267,7929
813142292504645637,2438,8644
813130366689148928,457,4570
813127251579564032,3203,12094
813112105746448384,2804,10530
813096984823349248,3699,10772
813081950185472002,2835,10092
813066809284972545,2000,8124
813051746834595840,7534,21412
812781120811126785,1952,7732
812709060537683968,1465,6754
812503143955202048,1250,6198
812466873996607488,1981,8132
812372279581671427,3750,13946
811985624773361665,1436,7415
811744202451197953,1637,7704
811647686436880384,759,5729
811627233043480576,3155,13043
811386762094317568,6533,21383
810984652412424192,1471,5452
810896069567610880,1811,9219
810657578271330305,2719,11210
810284430598270976,11580,36043
810254108431155201,3451,15025
809920764300447744,4035,15858
809808892968534016,5018,0
809448704142938112,1499,7090
809220051211603969,5738,20362
809084759137812480,3612,13533
808838249661788160,3123,10338
808733504066486276,2220,8081
808501579447930884,2673,11546
808344865868283904,21408,43528
808134635716833280,6084,0
808106460588765185,2258,8990
808001312164028416,3619,12808
807621403335917568,3724,14898
807106840509214720,56903,120954
807059379405148160,7528,0
807010152071229440,3954,13362
806629075125202948,35583,76435
806620845233815552,5674,0
806576416489959424,1993,5003
806542213899489280,2415,10452
806242860592926720,11933,0
806219024703037440,1221,6579
805958939288408065,5503,0
805932879469572096,1967,8468
805826884734976000,1878,6715
805823200554876929,8240,0
805520635690676224,1704,5876
805487436403003392,2582,8982
805207613751304193,1757,8004
804738756058218496,3918,14001
804475857670639616,2066,6279
804413760345620481,3318,0
804026241225523202,16583,45482
803773340896923648,2820,10295
803692223237865472,7619,0
803638050916102144,4248,11200
803380650405482500,1909,7948
803321560782307329,5463,0
